list-none-none,1,10,1,30,98187,3272
list-none-none,1,100,1,300,146183,487
list-none-none,1,1000,1,3000,3968205,1322
list-none-none,1,10000,1,30000,696167944,23205
list-none-none,1,20000,1,60000,3387841723,56464
list-none-none,2,1,1,6,153626,25604
list-none-none,2,10,1,60,163451,2724
list-none-none,2,100,1,600,256218,427
list-none-none,2,1000,1,6000,11837895,1972
list-none-none,4,1,1,12,261671,21805
list-none-none,8,1,1,24,380072,15836
list-none-none,12,1,1,36,443175,12310
list-i-none,2,1,1,6,193277,32212
list-i-none,2,2,1,12,142810,11900
list-i-none,2,4,1,24,176704,7362
list-i-none,2,8,1,48,195462,4072
list-i-none,4,1,1,12,265174,22097
list-i-none,4,2,1,24,243767,10156
list-i-none,4,4,1,48,244714,5098
list-i-none,8,2,1,48,421935,8790
list-i-none,12,1,1,36,464137,12892
list-i-none,12,2,1,72,452193,6280
list-d-none,2,1,1,6,194531,32421
list-d-none,2,2,1,12,155673,12972
list-d-none,2,4,1,24,183773,7657
list-d-none,2,8,1,48,167992,3499
list-d-none,4,1,1,12,197830,16485
list-d-none,8,1,1,24,364788,15199
list-d-none,8,2,1,48,345413,7196
list-d-none,8,4,1,96,389650,4058
list-d-none,8,8,1,192,444762,2316
list-d-none,12,1,1,36,535502,14875
list-il-none,2,1,1,6,168369,28061
list-il-none,2,2,1,12,166481,13873
list-il-none,2,4,1,24,195109,8129
list-il-none,2,8,1,48,208489,4343
list-il-none,2,32,1,192,710040,3698
list-il-none,4,1,1,12,245167,20430
list-il-none,4,2,1,24,213558,8898
list-il-none,4,16,1,192,460765,2399
list-il-none,8,2,1,48,460654,9596
list-dl-none,2,1,1,6,151154,25192
list-dl-none,2,2,1,12,159995,13332
list-dl-none,2,4,1,24,148959,6206
list-dl-none,4,2,1,24,235996,9833
list-dl-none,4,4,1,48,243626,5075
list-dl-none,4,8,1,96,327624,3412
list-dl-none,8,1,1,24,325248,13552
list-dl-none,8,2,1,48,315920,6581
list-dl-none,8,4,1,96,324327,3378
list-dl-none,8,8,1,192,412083,2146
list-dl-none,12,1,1,36,443464,12318
list-i-m,12,32,1,1152,4068474,3531
list-d-m,12,32,1,1152,4323226,3752
list-il-m,12,32,1,1152,4204155,3649
list-dl-m,12,32,1,1152,4058084,3522
list-i-s,12,32,1,1152,4037404,3504
list-d-s,12,32,1,1152,3992535,3465
list-il-s,12,32,1,1152,3984091,3458
list-dl-s,12,32,1,1152,3928306,3409
list-none-none,1,1000,1,3000,3691081,1230
list-none-m,1,1000,1,3000,3727760,1242
list-none-m,2,1000,1,6000,7631479,1271
list-none-m,4,1000,1,12000,14567550,1213
list-none-m,8,1000,1,24000,29202046,1216
list-none-m,12,1000,1,36000,43558105,1209
list-none-m,16,1000,1,48000,57967588,1207
list-none-m,24,1000,1,72000,87213514,1211
list-none-s,1,1000,1,3000,3689166,1229
list-none-s,2,1000,1,6000,7236450,1206
list-none-s,4,1000,1,12000,14357031,1196
list-none-s,8,1000,1,24000,28942861,1205
list-none-s,12,1000,1,36000,43397950,1205
list-none-s,16,1000,1,48000,62912030,1310
list-none-s,24,1000,1,72000,104712915,1454
