add-none,1,100,200,155519,777,0
add-none,1,1000,2000,176442,88,0
add-none,1,10000,20000,255872,12,0
add-none,1,100000,200000,1297706,6,0
add-none,2,100,400,136134,340,0
add-none,2,1000,4000,171739,42,0
add-none,2,10000,40000,464530,11,7
add-none,2,100000,400000,4808475,12,82
add-none,4,100,800,197288,246,0
add-none,4,1000,8000,217034,27,1
add-none,4,10000,80000,1253703,15,26
add-none,4,100000,800000,13405757,16,391
add-none,8,100,1600,374847,234,0
add-none,8,1000,16000,346100,21,3
add-none,8,10000,160000,2490644,15,52
add-none,8,100000,1600000,25238288,15,547
add-none,12,100,2400,426658,177,0
add-none,12,1000,24000,520425,21,3
add-none,12,10000,240000,4233456,17,506
add-none,12,100000,2400000,38173648,15,3278
add-yield-none,1,10,20,160443,8022,0
add-yield-none,1,20,40,154044,3851,0
add-yield-none,1,40,80,189137,2364,0
add-yield-none,1,80,160,283258,1770,0
add-yield-none,1,100,200,284986,1424,0
add-yield-none,1,1000,2000,1791797,895,0
add-yield-none,1,10000,20000,16514997,825,0
add-yield-none,1,100000,200000,154805415,774,0
add-yield-none,2,10,40,174532,4363,0
add-yield-none,2,20,80,183531,2294,0
add-yield-none,2,40,160,226542,1415,1
add-yield-none,2,80,320,317642,992,1
add-yield-none,2,100,400,321771,804,0
add-yield-none,2,1000,4000,1926286,481,0
add-yield-none,2,10000,40000,19259844,481,1
add-yield-none,2,100000,400000,187482489,468,10
add-yield-none,4,10,80,206771,2584,1
add-yield-none,4,20,160,212876,1330,2
add-yield-none,4,40,320,258292,807,1
add-yield-none,4,80,640,336249,525,0
add-yield-none,4,100,800,373910,467,1
add-yield-none,4,1000,8000,2119084,264,1
add-yield-none,4,10000,80000,19134647,239,1
add-yield-none,4,100000,800000,186806345,233,11
add-yield-none,8,10,160,314147,1963,1
add-yield-none,8,20,320,343196,1072,2
add-yield-none,8,40,640,336563,525,2
add-yield-none,8,80,1280,455504,355,0
add-yield-none,8,100,1600,480924,300,2
add-yield-none,8,1000,16000,2390941,149,-1
add-yield-none,8,10000,160000,20213251,126,2
add-yield-none,8,100000,1600000,204268460,127,19
add-yield-none,12,10,240,508447,2118,0
add-yield-none,12,20,480,437885,912,6
add-yield-none,12,40,960,523558,545,6
add-yield-none,12,80,1920,594114,309,2
add-yield-none,12,100,2400,656205,273,1
add-yield-none,12,1000,24000,3415302,142,78
add-yield-none,12,10000,240000,31925904,133,752
add-yield-none,12,100000,2400000,262101626,109,158
add-none,1,10,20,122686,6134,0
add-none,1,100,200,145862,729,0
add-none,1,1000,2000,175313,87,0
add-none,1,10000,20000,315958,15,0
add-none,1,100000,200000,1571434,7,0
add-none,1,100,200,157722,788,0
add-none,1,1000,2000,157550,78,0
add-none,1,10000,20000,313469,15,0
add-none,1,100000,200000,1554527,7,0
add-none,2,100,400,161745,404,0
add-none,2,1000,4000,146547,36,0
add-none,2,10000,40000,646572,16,10
add-none,2,100000,400000,5116794,12,53
add-none,4,100,800,283517,354,0
add-none,4,1000,8000,204162,25,0
add-none,4,10000,80000,1044194,13,39
add-none,4,100000,800000,11882214,14,373
add-none,8,100,1600,293231,183,0
add-none,8,1000,16000,307664,19,0
add-none,8,10000,160000,2541919,15,65
add-none,8,100000,1600000,24556505,15,515
add-yield-none,1,100,200,334126,1670,0
add-yield-none,1,1000,2000,1725176,862,0
add-yield-none,1,10000,20000,16518717,825,0
add-yield-none,1,100000,200000,171966869,859,0
add-yield-none,2,100,400,343862,859,1
add-yield-none,2,1000,4000,2054670,513,1
add-yield-none,2,10000,40000,19530279,488,1
add-yield-none,2,100000,400000,191134539,477,9
add-yield-none,4,100,800,377500,471,3
add-yield-none,4,1000,8000,2052528,256,1
add-yield-none,4,10000,80000,20910457,261,2
add-yield-none,4,100000,800000,190061849,237,12
add-yield-none,8,100,1600,509029,318,1
add-yield-none,8,1000,16000,2344453,146,2
add-yield-none,8,10000,160000,21020088,131,2
add-yield-none,8,100000,1600000,205462612,128,36
add-yield-m,2,10000,40000,67048713,1676,0
add-yield-m,4,10000,80000,137094107,1713,0
add-yield-m,8,10000,160000,297003341,1856,0
add-yield-m,12,10000,240000,431121946,1796,0
add-yield-s,2,1000,4000,3828217,957,0
add-yield-s,4,1000,8000,10074940,1259,0
add-yield-s,8,1000,16000,21555041,1347,0
add-yield-s,12,1000,24000,37803710,1575,0
add-yield-c,2,10000,40000,36599311,914,0
add-yield-c,4,10000,80000,73562799,919,0
add-yield-c,8,10000,160000,117709623,735,0
add-yield-c,12,10000,240000,175638230,731,0
add-none,1,10000,20000,238847,11,0
add-none,2,10000,40000,594424,14,1
add-none,4,10000,80000,1271785,15,28
add-none,8,10000,160000,2356621,14,70
add-none,12,10000,240000,3772899,15,319
add-m,1,10000,20000,753139,37,0
add-m,2,10000,40000,3514748,87,0
add-m,4,10000,80000,14541358,181,0
add-m,8,10000,160000,35762472,223,0
add-m,12,10000,240000,50824432,211,0
add-s,1,10000,20000,420533,21,0
add-s,2,10000,40000,7311087,182,0
add-s,4,10000,80000,30417865,380,0
add-s,8,10000,160000,82029867,512,0
add-s,12,10000,240000,156545424,652,0
add-c,1,10000,20000,498242,24,0
add-c,2,10000,40000,2158452,53,0
add-c,4,10000,80000,5646830,70,0
add-c,8,10000,160000,11755471,73,0
add-c,12,10000,240000,18999579,79,0
